Species_CN,Species_LT,Nt_ex,Genus,Family
¹âÀ¯Ê÷,Fraxinus griffithii,ex,Fraxinus,Oleaceae
½ğÖÓ»¨,Forsythia viridissima,ex,Forsythia,Oleaceae
ÑîÃ·,Morella rubra,nt,Myrica,Nyctaginaceae
×ÏÜÔÀò,Mirabilis jalapa,ex,Mirabilis,Nyctaginaceae
ÒøÒ¶èñ,Eucalyptus cinerea,ex,Eucalyptus,Myrtaceae
À¶èñ,Eucalyptus globulus,ex,Eucalyptus,Myrtaceae
ÃÀ»¨ºìÇ§²ã,Callistemon citrinus,ex,Callistemon,Myrtaceae
ÏãÌÒÄ¾,Myrtus communis,ex,Myrtus,Myricaceae
¹¹Ê÷,Broussonetia papyrifera,nt,Broussonetia,Moraceae
É£,Morus alba,ex,Morus,Moraceae
°«Ğ¡ÌìÏÉ¹û,Ficus erecta,nt,Ficus,Moraceae
ÎŞ»¨¹û,Ficus carica,ex,Ficus,Moraceae
éÅÊ÷,Ficus microcarpa,ex,Ficus,Moraceae
Ô§ÑìÜÔÀò,Brunfelsia latifolia,ex,Brunfelsia,Moraceae
é¬,Melia azedarach,ex,Melia,Meliaceae
ÆßÒ¶Ò»Ö¦»¨,Paris polyphylla,ex,Paris,Melanthiaceae
Ä¾éÈ,Hibiscus syriacus,ex,Hibiscus,Malvaceae
Ä¾Ü½ÈØ,Hibiscus mutabilis,ex,Hibiscus,Malvaceae
ºìİàÜÜÂé,Abutilon megapotamicum,ex,Abutilon,Malvaceae
×ÏÓñÀ¼,Magnolia liliiflora,ex,Magnolia,Magnoliaceae
ÓñÀ¼,Magnolia denudata,ex,Magnolia,Magnoliaceae
ºÉ»¨ÓñÀ¼,Magnolia grandiflora,ex,Magnolia,Magnoliaceae
ÈÕ±¾ĞÁÒÄ,Magnolia kobus,ex,Magnolia,Magnoliaceae
Ê¯Áñ,Punica granatum,ex,Punica,Lythraceae
×ÏŞ±,Lagerstroemia indica,ex,Lagerstroemia,Lythraceae
ÄÏ×ÏŞ±,Lagerstroemia subcostata,ex,Lagerstroemia,Lythraceae
öùÀæ,Persea americana,ex,Persea,Lauraceae
±±ÃÀ¶ìÕÆé±,Liriodendron tulipifera,ex,Liriodendron,Lauraceae
¼§ÎÚÕÁ,Lindera lancea,nt,Lindera,Lauraceae
ÕÁÊ÷,Cinnamomum camphora,ex,Cinnamomum,Lauraceae
Ä¾Í¨,Akebia quinata,nt,Akebia,Lardizabalaceae
ÃÀÖŞ´óÊ÷İ®,Rubus spectabilis,ex,Rubus,Lamiaceae
ÃÔµüÏã,Rosmarinus officinalis,ex,Rosmarinus,Lamiaceae
±¡ºÉ,Mentha canadensis,ex,Mentha,Lamiaceae
³İÒ¶Ş¹ÒÂ²İ,Lavandula dentata,ex,Lavandula,Lamiaceae
Ş¹ÒÂ²İ,Lavandula angustifolia,ex,Lavandula,Lamiaceae
°×ÌÄ×ÓÊ÷,Callicarpa dichotoma,nt,Callicarpa,Lamiaceae
ÈÕ±¾×ÏÖé,Callicarpa japonica,nt,Callicarpa,Lamiaceae
½ğË¿ÌÒ,Hypericum monogynum,ex,Hypericum,Hypericaceae
½ğË¿Ã·,Hypericum patulum,nt,Hypericum,Hypericaceae
¶¬ÂÌ½ğË¿ÌÒ,Hypericum calycinum,ex,Hypericum,Hypericaceae
Î÷µÂ¿ÆÌØ½ğË¿ÌÒ,Hypericum 'Hidcote',ex,Hypericum,Hypericaceae
Ôó°ËÏÉ»¨,Hydrangea serrata,nt,Hydrangea,Hydrangeaceae
ÇÇÄ¾ĞåÇò,Hydrangea arborescens,ex,Hydrangea,Hydrangeaceae
ĞåÇò,Hydrangea macrophylla,ex,Hydrangea,Hydrangeaceae
èİÒ¶ĞåÇò,Hydrangea quercifolia,ex,Hydrangea,Hydrangeaceae
äÑÊè,Deutzia scabra,nt,Deutzia,Hydrangeaceae
™‹Ä¾,Loropetalum chinense,ex,Loropetalum,Hamamelidaceae
ÎÃÄ¸Ê÷,Distylium racemosum,ex,Distylium,Hamamelidaceae
ÉÙ»¨À¯°ê»¨,Corylopsis pauciflora,nt,Corylopsis,Hamamelidaceae
ÒøĞÓ,Ginkgo biloba,ex,Ginkgo,Ginkgoaceae
ÌìóÃ¿û,Pelargonium hortorum,ex,Pelargonium,Geraniaceae
³£ÂÌ¹³ÎÇÌÙ,Gelsemium sempervirens,ex,Gelsemium,Gelsemiaceae
ÇàÄ¾,Aucuba japonica,nt,Aucuba,Garryaceae
Ñ©ËÉ,Cedrus deodara,ex,Cedrus,Fagaceae
ÎÚ¸Ôèİ,Quercus phillyraeoides,ex,Quercus,Fagaceae
°×±³èİ,Quercus stenophylla,ex,Quercus,Fagaceae
ÈÕ±¾Àõ,Castanea crenata,nt,Castanea,Fagaceae
Èı½ÇéÊ,Acer buergerianum,ex,Acer,Fabaceae
¸»ÄşéÊ,Acer amoenum,nt,Acer,Fabaceae
ÈÕ±¾ºúÖ¦×Ó,Lespedeza thunbergii,ex,Lespedeza,Fabaceae
×Ï¾£,Cercis chinensis,ex,Cercis,Fabaceae
½õ¼¦¶ù,Caragana sinica,ex,Caragana,Fabaceae
ºÏ»¶,Albizia julibrissin,ex,Albizia,Fabaceae
±´ÀûÊÏÏàË¼,Acacia baileyana,ex,Acacia,Fabaceae
Ò°ÎàÍ©,Mallotus japonicus,nt,Mallotus,Euphorbiaceae
¸ŞÔÂ¶Å¾é,Rhododendron indicum,nt,Rhododendron,Ericaceae
Æ½»§¶Å¾é,Rhododendron hirado group,ex,Rhododendron,Ericaceae
¾ÃÁôÃÀ¶Å¾é,Rhododendron Kurume Group,ex,Rhododendron,Ericaceae
ÅíÍÁ¶Å¾é,Rhododendron ponticum,ex,Rhododendron,Ericaceae
Âí×íÄ¾,Pieris japonica,nt,Pieris,Ericaceae
Ì¨ÍåµõÖÓ»¨,Enkianthus perulatus,ex,Enkianthus,Elaeagnaceae
Å£ÄÌ×Ó,Elaeagnus umbellata,nt,Elaeagnus,Elaeagnaceae
´óÒ¶ºúÍÇ×Ó,Elaeagnus macrophylla,nt,Elaeagnus,Elaeagnaceae
ºúÍÇ×Ó,Elaeagnus pungens,nt,Elaeagnus,Elaeagnaceae
Ä¾°ëÏÄ,Elaeagnus multiflora,ex,Elaeagnus,Elaeagnaceae
ÊÁ,Diospyros kaki,nt,Diospyros,Ebenaceae
½»ÈÃÄ¾,Daphniphyllum macropodum,nt,Daphniphyllum,Daphniphyllaceae
ËÕÌú,Cycas revoluta,ex,Cycas,Cycadaceae
ÈÕ±¾ÁøÉ¼,Cryptomeria japonica var. radicans,ex,Cryptomeria,Cupressaceae
²à°Ø,Platycladus orientalis,ex,Platycladus,Cupressaceae
Ô²°Ø,Juniperus chinensis,ex,Juniperus,Cupressaceae
Âä»ùÉ½Ô²°Ø,Juniperus scopulorum,ex,Juniperus,Cupressaceae
´ó¹û°Ø,Cupressus macrocarpa,ex,Cupressus,Cupressaceae
É¼Ä¾,Cunninghamia lanceolata,ex,Cunninghamia,Cupressaceae
ÈÕ±¾±â°Ø,Chamaecyparis obtusa,nt,Chamaecyparis,Cupressaceae
ÈÕ±¾»¨°Ø,Chamaecyparis pisifera,nt,Chamaecyparis,Cupressaceae
Ñà×ÓÕÆ,Crassula ovata,ex,Crassula,Crassulaceae
Ïã¸ÛËÄÕÕ»¨,Cornus hongkongensis,ex,Dendrobenthamia,Cornaceae
ËÄÕÕ»¨,Cornus kousa,nt,Cornus,Cornaceae
´ó»¨ËÄÕÕ»¨,Cornus florida,ex,Cornus,Cornaceae
É½ÜïİÇ,Cornus officinalis,ex,Cornus,Cornaceae
¶¬ÇàÎÀÃ¬,Euonymus japonicus,nt,Euonymus,Celastraceae
ÎÀÃ¬,Euonymus alatus,nt,Euonymus,Celastraceae
´ó»¨ÁùµÀÄ¾,Abelia ¡Á grandiflora,ex,Abelia,Caprifoliaceae
ÆÓÊ÷,Celtis sinensis,nt,Celtis,Cannabaceae
²ÚÒ¶Ê÷,Aphananthe aspera,nt,Aphananthe,Cannabaceae
À¯Ã·,Chimonanthus praecox,ex,Chimonanthus,Calycanthaceae
ÈÕ±¾»ÆÑî,Buxus microphylla,nt,Buxus,Buxaceae
¼ĞÖñÌÒ,Nerium indicum,ex,Nerium,Berberidaceae
ÄÏÌìÖñ,Nandina domestica,nt,Nandina,Berberidaceae
Ì¨ÍåÊ®´ó¹¦ÀÍ,Mahonia japonica,ex,Mahonia,Berberidaceae
Ê®´ó¹¦ÀÍ,Mahonia fortunei,ex,Mahonia,Berberidaceae
¿í°úÊ®´ó¹¦ÀÍ,Mahonia eurybracteata,ex,Mahonia,Berberidaceae
ÜÑÂé,Boehmeria nivea,nt,Boehmeria,Begoniaceae
Çïº£ÌÄ,Begonia grandis,ex,Begonia,Begoniaceae
ÄÏ·ÇÍòÊÙ¾Õ,Osteospermum ecklonis,ex,Osteospermum,Asteraceae
¾Õ»¨,Dendranthema morifolium,ex,Dendranthema,Asteraceae
º£ÄÏÁúÑªÊ÷,Dracaena cambodiana,ex,Dracaena,Asparagaceae
