Plot_ID,Ward,Landuse_subclass,Landuse_class,Landuse_agg,Dist
165,Nishikyo-ku,R high I,R high,Res,5895.896835
129,Nishikyo-ku,R high I,R high,Res,10110.16686
144,Nishikyo-ku,R high I,R high,Res,9867.541995
150,Fushimi-ku,R high I,R high,Res,8577.433286
153,Nishikyo-ku,R high I,R high,Res,9269.726634
167,Nishikyo-ku,R high I,R high,Res,9435.172626
17,Fushimi-ku,R high II,R high,Res,5432.434177
16,Yamashina-ku,R high II,R high,Res,5433.252637
21,Yamashina-ku,R high II,R high,Res,4979.492188
127,Yamashina-ku,R high I,R high,Res,5556.215599
128,Yamashina-ku,R high I,R high,Res,4433.976305
130,Yamashina-ku,R high I,R high,Res,5849.368552
149,Yamashina-ku,R high I,R high,Res,5609.813514
161,Yamashina-ku,R high I,R high,Res,5007.807747
24,Fushimi-ku,R high II,R high,Res,6825.370105
139,Fushimi-ku,R high I,R high,Res,7055.477487
142,Fushimi-ku,R high I,R high,Res,7668.194848
157,Fushimi-ku,R high I,R high,Res,6913.784109
131,Kita-ku,R high I,R high,Res,5962.582601
133,Kita-ku,R high I,R high,Res,6509.812441
155,Kita-ku,R high I,R high,Res,5919.749016
31,Kamigyo-ku,R high II,R high,Res,4350.943945
14,Yamashina-ku,R high II,R high,Res,6070.646707
28,Ukyo-ku,R high II,R high,Res,8325.070081
30,Nakagyo-ku,R high II,R high,Res,3879.64936
32,Yamashina-ku,R high II,R high,Res,6535.767575
132,Yamashina-ku,R high I,R high,Res,3841.502336
134,Ukyo-ku,R high I,R high,Res,6456.32512
145,Fushimi-ku,R high I,R high,Res,8681.614937
154,Fushimi-ku,R high I,R high,Res,9054.853546
166,Kita-ku,R high I,R high,Res,5731.282348
169,Ukyo-ku,R high I,R high,Res,7675.470722
87,Nishikyo-ku,R low I,R low,Res,10034.94627
80,Fushimi-ku,R low I,R low,Res,5229.37921
61,Kita-ku,R low I,R low,Res,6819.861934
2,Kita-ku,R low II,R low,Res,4858.735782
70,Ukyo-ku,R low I,R low,Res,5502.41429
72,Sakyo-ku,R low I,R low,Res,7230.990957
77,Sakyo-ku,R low I,R low,Res,9425.866033
79,Ukyo-ku,R low I,R low,Res,6718.809361
88,Sakyo-ku,R low I,R low,Res,8975.65946
95,Sakyo-ku,R low I,R low,Res,9563.41681
104,Sakyo-ku,R low I,R low,Res,8027.981622
108,Kita-ku,R low I,R low,Res,5078.99095
113,Ukyo-ku,R low I,R low,Res,4914.056457
114,Sakyo-ku,R low I,R low,Res,9478.137758
117,Sakyo-ku,R low I,R low,Res,6970.289072
120,Ukyo-ku,R low I,R low,Res,5769.970401
123,Fushimi-ku,R low I,R low,Res,6009.484561
126,Kita-ku,R low I,R low,Res,5116.974057
99,Sakyo-ku,R low I,R low,Res,2315.788983
64,Sakyo-ku,R low I,R low,Res,3476.06968
124,Sakyo-ku,R low I,R low,Res,4839.530014
85,Kita-ku,R low I,R low,Res,6173.434
90,Sakyo-ku,R low I,R low,Res,5345.247174
101,Sakyo-ku,R low I,R low,Res,5550.97887
106,Kita-ku,R low I,R low,Res,5469.397484
82,Yamashina-ku,R low I,R low,Res,4439.442709
62,Sakyo-ku,R low I,R low,Res,4042.534926
116,Sakyo-ku,R low I,R low,Res,7541.077188
91,Nishikyo-ku,R low I,R low,Res,6835.856076
107,Kita-ku,R low I,R low,Res,5814.857256
97,Sakyo-ku,R low I,R low,Res,4031.163077
100,Sakyo-ku,R low I,R low,Res,3895.934041
111,Sakyo-ku,R low I,R low,Res,4478.214323
66,Sakyo-ku,R low I,R low,Res,3619.805144
115,Sakyo-ku,R low I,R low,Res,4740.19391
68,Kita-ku,R low I,R low,Res,5993.598634
